truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,88,260717675,0.01,0.05,Q,False,97
Q,89,260717676,0.05,0.05,Q,False,57
Q,89,260717676,0.05,0.01,Q,False,57
Q,89,260717676,0.01,0.05,Q,False,57
Q,90,260717677,0.05,0.05,Q,False,97
Q,90,260717677,0.05,0.01,Q,False,97
Q,90,260717677,0.01,0.05,Q,False,99
Q,91,260717678,0.05,0.05,Q,False,94
Q,91,260717678,0.05,0.01,Q,False,94
Q,91,260717678,0.01,0.05,Q,False,100
Q,92,260717679,0.05,0.05,Q,False,43
Q,92,260717679,0.05,0.01,Q,False,43
Q,92,260717679,0.01,0.05,Q,False,55
Q,93,260717680,0.05,0.05,Q,False,138
Q,93,260717680,0.05,0.01,Q,False,138
Q,93,260717680,0.01,0.05,Q,False,140
Q,94,260717681,0.05,0.05,Q,False,86
Q,94,260717681,0.05,0.01,Q,False,86
Q,94,260717681,0.01,0.05,Q,False,87
Q,95,260717682,0.05,0.05,Q,False,71
Q,95,260717682,0.05,0.01,Q,False,71
Q,95,260717682,0.01,0.05,Q,False,73
Q,96,260717683,0.05,0.05,Q,False,33
Q,96,260717683,0.05,0.01,Q,False,33
Q,96,260717683,0.01,0.05,Q,False,34
Q,97,260717684,0.05,0.05,Q,False,74
Q,97,260717684,0.05,0.01,Q,False,74
Q,97,260717684,0.01,0.05,Q,False,75
Q,98,260717685,0.05,0.05,Q,False,86
Q,98,260717685,0.05,0.01,Q,False,86
Q,98,260717685,0.01,0.05,Q,False,101
Q,99,260717686,0.05,0.05,Q,False,92
Q,99,260717686,0.05,0.01,Q,False,92
Q,99,260717686,0.01,0.05,Q,False,112
Q,100,260717687,0.05,0.05,Q,False,86
Q,100,260717687,0.05,0.01,Q,False,86
Q,100,260717687,0.01,0.05,Q,False,91
Q,101,260717688,0.05,0.05,Q,False,56
Q,101,260717688,0.05,0.01,Q,False,56
Q,101,260717688,0.01,0.05,Q,False,58
Q,102,260717689,0.05,0.05,Q,False,59
Q,102,260717689,0.05,0.01,Q,False,59
Q,102,260717689,0.01,0.05,Q,False,59
Q,103,260717690,0.05,0.05,Q,False,65
Q,103,260717690,0.05,0.01,Q,False,65
Q,103,260717690,0.01,0.05,Q,False,68
Q,104,260717691,0.05,0.05,Q,False,121
Q,104,260717691,0.05,0.01,Q,False,121
Q,104,260717691,0.01,0.05,Q,False,125
Q,105,260717692,0.05,0.05,Q,False,102
