states,family,checkpoint,active_rows,production_L_t,cleanroom_L_t,absolute_L_t_error,production_theta,cleanroom_theta,production_beta_t,cleanroom_beta_t,absolute_beta_error,empirical_kernel_max_error,production_stop,cleanroom_stop
25,cycle,5,4,10.232949706078967,10.23294970607898,1.2434497875801753e-14,0.35,0.35,607.8559408631774,607.8559408631774,0.0,0.0,False,False
25,cycle,10,9,14.096186966222508,14.09618696622247,3.730349362740526e-14,0.35,0.35,612.7545802056079,612.7545802056079,0.0,0.0,False,False
25,cycle,25,10,37.51809185450327,37.51809185450323,3.552713678800501e-14,0.35,0.35,626.4987687217806,626.4987687217806,0.0,0.0,False,False
25,cycle,50,16,59.1146516460834,59.11465164608331,9.237055564881302e-14,0.35,0.35,649.0111322169819,649.0111322169819,0.0,0.0,False,False
25,cycle,100,19,108.18313071421008,108.18313071420965,4.263256414560601e-13,0.35,0.35,689.6228303715467,689.6228303715467,0.0,0.0,False,False
50,dense,1,1,3.9175615344289882,3.917561534428989,8.881784197001252e-16,0.35,0.35,2453.9856649321127,2453.9856649321127,0.0,0.0,False,False
50,dense,2,2,6.923272823879252,6.923272823879252,0.0,0.35,0.35,2454.975597590671,2454.975597590671,0.0,0.0,False,False
50,dense,5,4,18.134876488045226,18.13487648804521,1.4210854715202004e-14,0.35,0.35,2457.9257916453007,2457.9257916453007,0.0,0.0,False,False
50,dense,10,8,36.93653151808376,36.93653151808377,7.105427357601002e-15,0.35,0.35,2462.8558510170474,2462.8558510170474,0.0,0.0,False,False
50,dense,25,19,81.46290431287807,81.46290431287807,0.0,0.35,0.35,2477.607582680727,2477.607582680727,0.0,0.0,False,False
50,dense,50,30,144.4889101676761,144.4889101676761,0.0,0.35,0.35,2501.8434717813525,2501.8434717813525,0.0,0.0,False,False
50,dense,100,41,256.6420363289873,256.64203632898733,5.684341886080802e-14,0.35,0.35,2549.7090164138226,2549.7090164138226,0.0,0.0,False,False
50,sticky,1,1,0.05346464534353846,0.05346464534362661,8.815170815523743e-14,0.75,0.75,2453.9856649321127,2453.9856649321127,0.0,0.0,False,False
50,sticky,2,1,5.704071039419001,5.704071039417716,1.2851941733060812e-12,0.35,0.35,2454.955993669625,2454.955993669625,0.0,0.0,False,False
50,sticky,5,2,8.231320380113496,8.23132038011217,1.326938559031987e-12,0.35,0.35,2457.8677412726947,2457.8677412726947,0.0,0.0,False,False
50,sticky,10,3,13.092384679106926,13.092384679105427,1.4992451724538114e-12,0.35,0.35,2462.4889645667854,2462.4889645667854,0.0,0.0,False,False
50,sticky,25,4,27.660666873166626,27.660666873164978,1.6484591469634324e-12,0.35,0.35,2475.7737002900626,2475.7737002900626,0.0,0.0,False,False
50,sticky,50,9,55.57935613158064,55.57935613157937,1.2718714970105793e-12,0.35,0.35,2497.7576591029824,2497.7576591029824,0.0,0.0,False,False
50,sticky,100,15,114.73010231040251,114.73010231040077,1.7479351299698465e-12,0.35,0.35,2543.0907168006615,2543.0907168006615,0.0,0.0,False,False
50,cycle,1,1,0.3637941036238489,0.3637941036238369,1.199040866595169e-14,0.35,0.35,2453.9856649321127,2453.9856649321127,0.0,0.0,False,False
50,cycle,2,2,5.389697145756202,5.38969714575647,2.682298827494378e-13,0.35,0.35,2454.975597590671,2454.975597590671,0.0,0.0,False,False
50,cycle,5,5,7.9245079369127644,7.924507936913116,3.517186542012496e-13,0.35,0.35,2457.9453955663466,2457.9453955663466,0.0,0.0,False,False
50,cycle,10,10,12.225401498170061,12.225401498170557,4.956035581926699e-13,0.35,0.35,2462.8950588591388,2462.8950588591388,0.0,0.0,False,False
50,cycle,25,15,39.730491468038124,39.73049146803899,8.668621376273222e-13,0.35,0.35,2477.491481935515,2477.4914819355145,4.547473508864641e-13,0.0,False,False
50,cycle,50,22,72.7594433937442,72.75944339374588,1.6768808563938364e-12,0.35,0.35,2501.3748111403593,2501.3748111403593,0.0,0.0,False,False
50,cycle,100,27,132.48090232937477,132.48090232937855,3.780087354243733e-12,0.35,0.35,2547.4603864689225,2547.4603864689225,0.0,0.0,False,False
