theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.8,106,260417693,1,640.0,1030
-0.8,106,260417693,1,1280.0,1919
-0.8,106,260417693,1,2560.0,3714
-0.8,106,260417693,1,5120.0,7394
-0.8,107,260417694,2,320.0,564
-0.8,107,260417694,2,640.0,989
-0.8,107,260417694,2,1280.0,1873
-0.8,107,260417694,2,2560.0,3726
-0.8,107,260417694,2,5120.0,7355
-0.8,108,260417695,3,320.0,591
-0.8,108,260417695,3,640.0,1051
-0.8,108,260417695,3,1280.0,2081
-0.8,108,260417695,3,2560.0,3827
-0.8,108,260417695,3,5120.0,7442
-0.8,109,260417696,4,320.0,474
-0.8,109,260417696,4,640.0,901
-0.8,109,260417696,4,1280.0,1815
-0.8,109,260417696,4,2560.0,3547
-0.8,109,260417696,4,5120.0,7124
-0.8,110,260417697,0,320.0,519
-0.8,110,260417697,0,640.0,1012
-0.8,110,260417697,0,1280.0,1858
-0.8,110,260417697,0,2560.0,3667
-0.8,110,260417697,0,5120.0,7267
-0.8,111,260417698,1,320.0,523
-0.8,111,260417698,1,640.0,987
-0.8,111,260417698,1,1280.0,1864
-0.8,111,260417698,1,2560.0,3554
-0.8,111,260417698,1,5120.0,7144
-0.8,112,260417699,2,320.0,488
-0.8,112,260417699,2,640.0,949
-0.8,112,260417699,2,1280.0,1833
-0.8,112,260417699,2,2560.0,3608
-0.8,112,260417699,2,5120.0,7018
-0.8,113,260417700,3,320.0,545
-0.8,113,260417700,3,640.0,1013
-0.8,113,260417700,3,1280.0,1972
-0.8,113,260417700,3,2560.0,3849
-0.8,113,260417700,3,5120.0,7449
-0.8,114,260417701,4,320.0,548
-0.8,114,260417701,4,640.0,964
-0.8,114,260417701,4,1280.0,1872
-0.8,114,260417701,4,2560.0,3652
-0.8,114,260417701,4,5120.0,7130
-0.8,115,260417702,0,320.0,493
-0.8,115,260417702,0,640.0,959
-0.8,115,260417702,0,1280.0,1842
-0.8,115,260417702,0,2560.0,3701
-0.8,115,260417702,0,5120.0,7218
-0.8,116,260417703,1,320.0,609
-0.8,116,260417703,1,640.0,1017
-0.8,116,260417703,1,1280.0,1954
-0.8,116,260417703,1,2560.0,3753
-0.8,116,260417703,1,5120.0,7242
-0.8,117,260417704,2,320.0,537
-0.8,117,260417704,2,640.0,1021
-0.8,117,260417704,2,1280.0,1947
-0.8,117,260417704,2,2560.0,3715
-0.8,117,260417704,2,5120.0,7182
-0.8,118,260417705,3,320.0,583
-0.8,118,260417705,3,640.0,1046
-0.8,118,260417705,3,1280.0,1923
-0.8,118,260417705,3,2560.0,3663
-0.8,118,260417705,3,5120.0,7472
-0.8,119,260417706,4,320.0,558
-0.8,119,260417706,4,640.0,990
-0.8,119,260417706,4,1280.0,1838
-0.8,119,260417706,4,2560.0,3730
-0.8,119,260417706,4,5120.0,7381
-0.8,120,260417707,0,320.0,520
-0.8,120,260417707,0,640.0,978
-0.8,120,260417707,0,1280.0,1930
