states,total,counts,log_mixture,empirical_kl,row_penalty,conditional_expectation,dominance_slack
6,9,2|1|2|0|2|2,0.07679470057347615,3.47809166674392,10.148097085905793,1.0,6.746800119735349
6,9,2|1|2|0|3|1,0.6645813654755948,4.183661367302422,10.148097085905793,1.0,6.629017084078965
6,9,2|1|2|0|4|0,2.2331972833894405,6.61532350257161,10.148097085905793,1.0,5.765970866723623
6,9,2|1|2|1|0|3,0.5230818032018938,4.042161805028723,10.148097085905793,1.0,6.6290170840789635
6,9,2|1|2|1|1|2,-0.39320892867225865,2.314940856938239,10.148097085905793,1.0,7.4399473002952945
6,9,2|1|2|1|2|1,-0.21088737187830375,2.497262413732194,10.148097085905793,1.0,7.4399473002952945
6,9,2|1|2|1|3|0,1.0700464735837585,4.589126475410587,10.148097085905793,1.0,6.629017084078964
6,9,2|1|2|2|0|2,0.5230818032018938,3.9243787693723395,10.148097085905793,1.0,6.746800119735347
6,9,2|1|2|2|1|1,0.012256179435905068,2.7204059650464036,10.148097085905793,1.0,7.4399473002952945
6,9,2|1|2|2|2|0,0.8877249167898036,4.289021882960249,10.148097085905793,1.0,6.746800119735347
6,9,2|1|2|3|0|1,1.3340120194182212,4.853092021245051,10.148097085905793,1.0,6.629017084078963
6,9,2|1|2|3|1|0,1.5163335762121761,5.035413578039006,10.148097085905793,1.0,6.629017084078963
6,9,2|1|2|4|0|0,3.1257714886462793,7.50789770782845,10.148097085905793,1.0,5.765970866723622
6,9,2|1|3|0|0|3,1.9093761643217881,6.239386382364943,10.148097085905793,1.0,5.818086867862638
6,9,2|1|3|0|1|2,0.9930854324476286,4.512165434274459,10.148097085905793,1.0,6.629017084078963
6,9,2|1|3|0|2|1,1.1754069892415835,4.6944869910684135,10.148097085905793,1.0,6.629017084078963
6,9,2|1|3|0|3|0,2.456340834703653,6.786351052746807,10.148097085905793,1.0,5.818086867862639
6,9,2|1|3|1|0|2,1.216228983761841,4.735308985588668,10.148097085905793,1.0,6.629017084078965
6,9,2|1|3|1|1|1,0.7054033599958522,3.531336181262733,10.148097085905793,1.0,7.3221642646389125
6,9,2|1|3|1|2|0,1.5808720973497472,5.099952099176578,10.148097085905793,1.0,6.629017084078962
6,9,2|1|3|2|0|1,1.6216940918700047,5.140774093696833,10.148097085905793,1.0,6.629017084078964
6,9,2|1|3|2|1|0,1.8040156486639596,5.323095650490788,10.148097085905793,1.0,6.629017084078964
6,9,2|1|3|3|0|0,3.125771488646283,7.455781706689436,10.148097085905793,1.0,5.81808686786264
6,9,2|1|4|0|0|2,2.8902054173335117,7.272331636515682,10.148097085905793,1.0,5.765970866723622
6,9,2|1|4|0|1|1,2.379379793567523,6.068358832189746,10.148097085905793,1.0,6.459118047283569
6,9,2|1|4|0|2|0,3.2548485309214215,7.636974750103591,10.148097085905793,1.0,5.765970866723623
6,9,2|1|4|1|0|1,2.6025233448817318,6.291502383503956,10.148097085905793,1.0,6.459118047283568
6,9,2|1|4|1|1|0,2.7848449016756867,6.473823940297911,10.148097085905793,1.0,6.459118047283568
6,9,2|1|4|2|0|0,3.701135633549839,8.083261852732011,10.148097085905793,1.0,5.76597086672362
6,9,2|1|5|0|0|1,4.499643329767613,9.081196573646677,10.148097085905793,1.0,5.566543842026729
6,9,2|1|5|0|1|0,4.681964886561568,9.263518130440632,10.148097085905793,1.0,5.566543842026729
6,9,2|1|5|1|0|0,4.90510843787578,9.486661681754843,10.148097085905793,1.0,5.56654384202673
6,9,2|1|6|0|0|0,6.984549979555615,12.477711007404451,10.148097085905793,1.0,4.654936058056956
6,9,2|2|0|0|0|5,2.825666896195944,8.100367320634952,10.148097085905793,1.0,4.873396661466785
6,9,2|2|0|0|1|4,1.3985505405557923,5.780676759737966,10.148097085905793,1.0,5.765970866723619
6,9,2|2|0|0|2|3,0.8877249167898036,5.099952099176578,10.148097085905793,1.0,5.935869903519018
6,9,2|2|0|0|3|2,1.0700464735837585,5.282273655970532,10.148097085905793,1.0,5.935869903519019
6,9,2|2|0|0|4|1,1.945515210937657,6.327641430119829,10.148097085905793,1.0,5.76597086672362
6,9,2|2|0|0|5|0,3.737274680165715,9.011975104604723,10.148097085905793,1.0,4.873396661466785
