theta,trial,seed,initial_state,alpha,horizon,stopped,stopping_time
0.5,215,260517802,0,0.009999999999999995,10000,False,
0.52,216,260517803,0,0.05000000000000001,10000,False,
0.52,216,260517803,0,0.009999999999999995,10000,False,
0.54,217,260517804,0,0.05000000000000001,10000,False,
0.54,217,260517804,0,0.009999999999999995,10000,False,
0.56,218,260517805,0,0.05000000000000001,10000,False,
0.56,218,260517805,0,0.009999999999999995,10000,False,
0.5800000000000001,219,260517806,0,0.05000000000000001,10000,False,
0.5800000000000001,219,260517806,0,0.009999999999999995,10000,False,
0.6000000000000001,220,260517807,0,0.05000000000000001,10000,False,
0.6000000000000001,220,260517807,0,0.009999999999999995,10000,False,
0.6200000000000001,221,260517808,0,0.05000000000000001,10000,False,
0.6200000000000001,221,260517808,0,0.009999999999999995,10000,False,
0.6400000000000001,222,260517809,0,0.05000000000000001,10000,False,
0.6400000000000001,222,260517809,0,0.009999999999999995,10000,False,
0.66,223,260517810,0,0.05000000000000001,10000,False,
0.66,223,260517810,0,0.009999999999999995,10000,False,
0.68,224,260517811,0,0.05000000000000001,10000,False,
0.68,224,260517811,0,0.009999999999999995,10000,False,
0.7,225,260517812,0,0.05000000000000001,10000,False,
0.7,225,260517812,0,0.009999999999999995,10000,False,
0.72,226,260517813,0,0.05000000000000001,10000,False,
0.72,226,260517813,0,0.009999999999999995,10000,False,
0.74,227,260517814,0,0.05000000000000001,10000,False,
0.74,227,260517814,0,0.009999999999999995,10000,False,
0.76,228,260517815,0,0.05000000000000001,10000,False,
0.76,228,260517815,0,0.009999999999999995,10000,False,
0.78,229,260517816,0,0.05000000000000001,10000,False,
0.78,229,260517816,0,0.009999999999999995,10000,False,
0.8,230,260517817,0,0.05000000000000001,10000,False,
0.8,230,260517817,0,0.009999999999999995,10000,False,
0.4,231,260517818,1,0.05000000000000001,10000,False,
0.4,231,260517818,1,0.009999999999999995,10000,False,
0.42000000000000004,232,260517819,1,0.05000000000000001,10000,False,
0.42000000000000004,232,260517819,1,0.009999999999999995,10000,False,
0.44,233,260517820,1,0.05000000000000001,10000,False,
0.44,233,260517820,1,0.009999999999999995,10000,False,
0.46,234,260517821,1,0.05000000000000001,10000,False,
0.46,234,260517821,1,0.009999999999999995,10000,False,
0.48000000000000004,235,260517822,1,0.05000000000000001,10000,False,
0.48000000000000004,235,260517822,1,0.009999999999999995,10000,False,
0.5,236,260517823,1,0.05000000000000001,10000,False,
0.5,236,260517823,1,0.009999999999999995,10000,False,
0.52,237,260517824,1,0.05000000000000001,10000,False,
0.52,237,260517824,1,0.009999999999999995,10000,False,
